x,y,prediction
111.41889,42.6423,36
-73.5789,-74.68114,53
50.724564,51.92613,7
0.44074708,-16.215603,-1
41.17324,-37.661568,92
-45.15931,-119.99707,31
-23.27418,30.317217,-1
101.03096,-28.067186,93
-73.09581,-11.761455,94
-20.51611,-114.64757,95
-96.148964,-62.01184,96
-55.70001,-20.873821,-1
38.053555,44.414074,7
79.17076,-7.0460525,-1
-63.352646,55.10658,76
-20.685886,-35.70949,97
-83.17221,-76.42498,-1
-43.344547,-12.70299,98
-83.43929,86.902824,70
-34.078926,81.211845,-1
89.78605,26.771381,-1
63.09367,-26.866283,-1
-13.013098,66.97581,99
93.771034,43.62891,100
93.92103,40.42487,100
-54.996758,-52.051487,-1
77.41382,3.7708306,-1
-83.71096,83.55998,70
-55.924072,-28.7841,-1
-48.7913,-120.32086,31
-108.861374,-32.399445,101
-51.449234,-86.208435,102
40.203335,60.060177,7
36.59116,46.772358,7
43.925,-95.30882,-1
12.141546,117.93862,103
-37.210453,-64.482376,104
-87.214066,-65.227844,-1
-106.290474,-30.29604,101
51.66191,64.03568,7
76.69835,-95.25491,33
52.58933,49.53787,7
-70.083435,-47.47941,35
-71.89344,76.1213,46
-71.47514,-42.249653,35
26.121914,-12.403391,-1
86.49987,-68.91953,-1
57.877552,55.69575,7
-103.350075,-26.116106,51
-69.73802,-7.94257,94
56.31311,52.083183,7
60.708046,13.952477,61
-51.94297,-114.50405,31
61.063984,54.493847,7
22.613554,-22.666641,-1
49.69513,49.66956,7
53.69411,50.720478,7
78.58335,-78.04793,-1
-95.655045,-58.970623,96
107.874435,36.957844,-1
-39.659523,74.69071,68
-131.68762,-25.90047,-1
54.369774,49.13161,7
-0.7073289,-78.44509,74
31.608013,-18.272797,-1
54.844585,-72.033936,6
62.989838,58.849743,7
69.988075,58.86442,7
-62.766895,-57.937954,-1
119.39245,-38.709404,19
-2.643216,-28.354155,-1
111.458855,43.023483,36
70.66255,-49.57482,83
17.810387,-27.840055,105
54.28006,-1.1085553,106
-68.52641,29.896318,107
-34.744358,-8.620177,155
-119.84659,29.7452,44
-38.386433,-21.659958,-1
26.924564,-82.55142,17
41.870724,51.21323,7
-1.0336938,-101.43199,108
-42.25712,2.5424519,22
9.995447,-38.651016,109
-96.04594,-62.40345,96
-75.488106,-63.315834,-1
-9.434449,6.037348,25
-30.96927,-70.52554,156
-7.593548,-16.172802,110
-46.324413,82.52008,111
87.14427,-4.426577,91
-74.98225,63.636353,3
12.017096,118.004776,103
-7.635751,90.43586,-1
-31.906208,-71.53608,156
-1.9072834,-76.30983,74
-115.79335,-2.778459,72
-66.478325,-39.053932,35
-37.95473,97.13889,151
90.293495,-81.2054,78
7.471439,75.76775,71
17.810413,-27.839725,105
54.932434,36.640003,7
42.17499,-36.85674,92
65.95428,97.447624,60
-3.4686084,-42.61106,-1
44.370132,41.345722,7
-49.67878,16.033289,-1
-26.713371,16.241896,-1
-63.38071,109.54375,112
2.0128775,-21.94241,-1
81.74774,-39.101196,58
76.53941,-17.271036,150
87.447296,-4.4932704,91
43.282764,-102.645454,59
-51.555653,6.430326,-1
66.21332,-55.984734,-1
120.270966,-38.64501,19
-83.1213,-41.677277,-1
-79.29951,-63.182774,2
32.542667,99.07281,37
-65.86517,58.63617,76
26.44454,-12.725326,-1
-28.435406,-77.115425,48
6.599517,-30.278864,-1
42.023678,61.054657,7
-120.940796,-3.114605,72
42.462643,52.674915,7
85.452705,-24.227348,-1
-44.955452,74.96639,-1
-9.362516,86.07195,113
-41.20775,33.882736,-1
-83.06473,-49.593246,-1
45.09334,-89.13781,90
47.03276,66.30832,7
-73.087265,-38.173283,35
46.069786,64.610054,7
-42.45124,-119.015724,31
-79.29945,-63.181244,2
36.811478,53.285614,7
44.639297,43.5374,7
104.98541,-28.851196,93
-74.12118,10.211105,54
49.067303,66.716354,7
-26.129318,78.78411,77
47.511673,63.550957,7
92.86003,67.81262,114
47.37384,49.76168,7
-77.034775,13.812767,54
-62.76157,33.564034,20
29.242495,-41.928913,115
28.77508,-83.25656,17
-31.220354,25.262354,116
11.052425,-86.69151,157
-71.12482,99.72026,117
-37.00399,-41.48644,-1
-35.61437,-34.43458,149
-90.20746,75.43007,-1
-59.336502,-51.244576,118
-75.3686,-67.79435,53
94.20976,-28.791409,119
-62.231323,108.50492,112
32.01909,-56.279728,28
77.94025,-95.17229,33
94.39117,-81.495026,78
-4.803354,35.98043,-1
60.36738,52.426384,7
-8.644877,6.894975,25
1.4949661,-49.941753,41
-24.256786,4.7354145,84
-59.773907,-88.18392,65
-2.9442525,-35.79627,-1
-35.463043,-12.784701,155
12.156184,123.75719,4
28.015656,17.604183,40
35.360584,44.71206,7
-27.686626,-12.157946,160
-59.30107,91.15072,-1
-74.92824,75.46474,46
-112.43123,-7.266297,72
-82.253716,-67.165695,2
41.061634,-63.72366,-1
4.1694613,94.57044,1
93.33147,40.61514,100
12.213807,32.76851,120
-72.49179,13.066251,54
-76.63818,12.1448345,54
-2.7895532,90.5693,-1
-52.641453,-94.42961,-1
-72.87003,74.77533,46
5.897914,-7.5013185,-1
63.436035,55.146477,7
-9.405381,-85.07183,121
-83.96937,-11.124625,-1
-103.65184,36.15406,122
-61.521576,107.86339,112
-26.619211,94.905426,66
-72.191925,-9.160498,94
-44.289646,82.68878,111
5.6634502,1.3270407,39
10.771509,-20.742126,-1
-46.18404,-30.432053,42
-26.785162,-68.55166,-1
-101.15842,37.196827,122
-46.334896,97.89312,43
-61.54643,-19.377499,-1
13.152098,109.915085,-1
49.382614,-104.56399,-1
-2.8030424,-52.808754,41
-55.47073,-65.1173,14
-39.850407,-65.28587,104
9.458677,-54.14633,-1
116.1285,10.97174,123
-39.690865,74.29644,68
3.6467435,39.22353,11
-110.3083,1.8238223,124
13.343892,117.56174,103
-62.767826,-57.941433,-1
-90.97776,-35.09304,-1
-8.06698,7.0288944,25
-8.247025,-16.475628,110
-76.91365,-71.633125,2
62.4025,94.00844,125
-47.3822,-22.034138,-1
-117.143875,-5.3785887,72
-21.937517,14.533153,-1
116.74361,37.619736,79
-9.355738,-14.801251,110
89.704315,26.799026,-1
-90.21514,74.859764,-1
-66.86619,-42.250988,35
-44.619736,51.69569,73
-47.814568,-32.198326,42
-27.048882,16.623142,-1
-93.534904,-65.364784,96
-109.1943,22.817905,139
45.855453,48.88497,7
46.70202,44.372833,7
46.737827,60.14786,7
19.224516,-86.399475,67
-29.596817,117.740395,13
77.22577,-95.00054,33
-69.11964,-73.78648,53
69.628525,-10.519364,-1
44.935696,0.58248305,-1
47.58729,107.35914,126
-75.13261,63.57932,3
-26.862164,-12.279634,160
-33.834423,24.86517,116
-0.5685404,8.977117,127
-83.17315,43.977074,10
55.281937,58.382732,7
-66.768974,-41.323006,35
-69.67969,29.363089,107
103.01798,-27.516338,93
75.38312,-97.12802,33
12.210861,122.62703,4
58.693275,-70.53832,6
-12.45065,64.97096,99
123.28443,-9.578428,50
-95.556015,-29.05715,51
-72.49349,13.066641,54
-41.768803,-52.91823,133
10.850065,-26.007313,-1
-55.663376,-20.8404,-1
-99.169395,-21.648638,51
-61.113625,-101.48316,128
-36.411976,-77.95275,-1
-74.21839,-40.91014,35
54.40195,-29.059822,129
-59.259235,22.126007,130
-9.833412,123.89806,131
16.991047,-18.95344,-1
88.305725,65.06935,-1
20.906721,118.085846,-1
89.60449,-74.20099,38
88.6923,-84.60715,78
-121.1903,-6.5977664,72
101.17451,-27.963829,93
67.69492,66.084694,7
-82.24706,36.354298,10
103.00792,-63.109455,69
-0.7941927,-51.816322,41
-115.13425,17.948997,34
119.44976,-38.67737,19
-104.81763,45.588223,-1
34.83473,54.428406,7
30.266727,-27.972342,132
5.859029,47.752224,-1
94.13615,30.762396,-1
-111.84771,-0.9467014,124
-72.19095,-9.160395,94
15.920432,125.56286,4
116.1297,10.152025,123
122.44113,-36.57881,19
-49.336205,-89.11353,102
45.51523,-20.67048,-1
-83.2206,43.943817,10
108.04842,18.407171,146
45.561462,55.95828,7
47.27755,53.881424,7
-59.564896,-102.20848,128
-108.282135,-34.18751,101
12.360476,117.8791,103
62.673405,94.08379,125
-73.19586,-48.444027,35
-12.927617,-29.096367,-1
-80.155716,13.037033,54
-83.08139,56.890152,30
-92.56197,-19.407598,86
47.11596,61.64178,7
101.39189,-3.1408103,85
-45.935204,-110.84632,31
-43.11479,67.34558,-1
32.960392,98.39009,37
13.993409,-130.17757,12
-118.387314,-45.57414,0
-32.712322,-80.326614,48
-20.767134,-113.42208,95
53.1738,-25.859497,129
-18.412596,-17.519394,-1
-63.99497,1.7470133,-1
-98.610016,34.645042,122
61.6582,-57.752655,-1
-110.534454,-30.255936,101
54.432175,-14.362394,-1
47.865078,56.656082,7
-54.541607,-88.51272,-1
-43.893036,-53.111443,133
-35.111996,121.768135,-1
-90.33733,80.34663,-1
72.853455,15.785116,49
-37.344715,-64.23588,104
-14.419879,52.286793,-1
-31.252419,25.670084,116
-50.44467,-56.824856,-1
47.693657,55.507877,7
2.649714,23.685,5
-59.808285,-25.272284,-1
-84.67951,-90.7747,21
38.954796,-106.30725,59
-41.64858,33.714832,-1
42.315647,63.130856,7
-44.17137,-82.17799,23
-84.91442,-88.46926,21
-64.08674,1.9032929,-1
3.1832538,94.26496,1
42.272003,59.26545,7
123.027176,-10.079676,50
56.940166,59.086853,7
-110.30011,1.7546507,124
54.232964,0.86535084,106
7.7567964,76.50318,71
100.78304,-64.12404,69
6.104438,-50.098,-1
116.94901,9.593392,123
42.08206,-36.943775,92
-68.45238,47.319942,134
-63.317146,-44.688507,35
10.836672,-26.025238,-1
48.496273,55.05467,7
-46.71174,-0.30330306,-1
94.00377,40.605522,100
31.111048,-29.549696,132
-73.50784,-22.667639,45
50.669193,57.08218,7
-41.548634,-64.63126,104
51.89211,54.512424,7
-88.30542,98.837494,135
-73.62602,-20.646507,45
91.008514,5.221355,24
93.94514,43.66394,100
-113.255844,-41.78914,158
-20.861824,-101.70994,63
45.681026,62.660564,7
41.27059,5.7771444,-1
-40.76642,55.124355,73
62.003387,-8.199628,136
-59.41082,-103.42327,128
-89.52071,-80.84658,88
48.17897,-47.139423,-1
47.920082,-13.244011,-1
-127.18132,-36.005825,62
38.62351,-18.81229,-1
-20.76828,-113.415596,95
41.35512,-55.351406,82
51.251396,48.687515,7
19.706469,113.42819,15
-1.9111379,-42.559032,-1
-35.22435,121.82313,-1
4.349537,68.79216,-1
-71.63689,76.67772,46
-91.60669,2.465102,137
51.803253,55.51607,7
-7.3797493,-17.114967,110
47.907784,51.256832,7
-97.107254,-42.573677,32
-30.448305,-71.5297,156
12.331972,-42.47581,-1
-117.994705,30.717669,44
50.82914,-34.814777,-1
45.33596,54.0026,7
-38.589848,-21.732084,-1
-0.11517498,-63.221954,-1
-60.157215,-3.8214324,138
-117.23646,-28.79287,-1
-132.32196,-25.314941,-1
-0.54708844,9.456323,127
54.853188,42.182373,7
94.9653,-60.643227,-1
-58.63239,-31.796347,-1
41.364285,69.731125,7
-71.74444,-41.92119,35
-27.81003,-12.14203,160
-110.29757,1.7543039,124
61.871887,94.07303,125
-78.233536,11.047384,54
-43.23636,8.16635,22
-28.882822,-83.90789,48
50.542076,42.25676,7
49.56321,53.458267,7
48.748707,53.88784,7
46.47048,53.508404,7
7.9143314,-29.573414,-1
50.453243,55.888847,7
-109.86263,19.01566,139
46.196136,56.71544,7
-39.354298,57.504726,73
4.8031034,69.40841,-1
96.10526,-19.386549,80
8.510594,52.14497,-1
-62.656532,-4.699828,138
2.4170861,-1.6882453,39
-1.2895004,-9.776508,-1
46.331947,54.463528,7
-58.530067,-50.39871,118
-7.9994936,-42.059563,-1
96.22737,24.231417,140
-3.8856251,63.55057,141
55.265015,-13.999787,-1
5.463917,-42.885525,109
3.6065269,38.313446,11
-115.55383,-9.81597,72
46.41619,-85.08402,90
-52.486538,52.433826,-1
61.651886,-57.785828,-1
-73.7729,-15.473667,94
-60.14054,106.01458,112
-65.38553,54.45819,76
-100.1395,-13.726923,64
51.98414,45.28202,7
-39.428356,74.81088,68
-72.00326,-9.330078,94
-20.756115,-35.856834,97
-8.514496,38.168953,-1
40.998726,-53.166805,82
50.885513,54.982903,7
-16.684761,-22.746408,-1
11.9405365,33.440266,120
92.32884,67.59082,114
48.85764,56.812553,7
78.58353,-78.04946,-1
-26.790321,-77.99409,48
-7.4607205,-65.3557,-1
48.897194,52.0752,7
-59.066696,21.568432,130
47.877502,57.701828,7
-43.45509,-121.823135,31
48.027225,54.359882,7
-16.483702,-48.393017,142
-72.47299,93.483315,-1
-82.48648,-58.456535,-1
59.144535,62.03138,7
-0.50214887,10.10303,127
-85.20528,33.933533,10
-66.47637,-39.053772,35
-76.29471,18.057558,-1
46.304012,-31.601633,-1
18.6312,9.750309,-1
-89.1125,-0.5444757,-1
68.52694,2.7409012,143
-12.241922,-71.32809,-1
-78.52707,13.141884,54
9.580556,-38.61721,109
-40.949337,55.143578,73
50.39452,-105.84227,-1
-69.55834,-65.7303,53
-12.857419,-29.155813,-1
-66.237816,-52.444923,35
-85.44794,-48.357113,-1
13.234925,-128.94965,12
-16.547058,-21.872286,-1
-93.28459,0.38209143,137
3.9735246,-91.29506,-1
48.498924,55.9633,7
-69.73878,-7.942238,94
56.99268,-60.95795,55
18.680103,9.707187,-1
67.92507,2.1305015,143
-67.20313,69.04871,46
61.553535,-52.11611,-1
-27.889599,79.05544,77
-21.882387,-34.241592,97
90.50221,-16.002356,-1
-72.17946,98.36653,117
-61.84502,-92.2012,-1
-65.80313,-52.684345,35
-22.01702,-34.842857,97
6.8485165,-0.9127717,39
12.213585,32.76964,120
35.017544,15.526642,-1
102.04792,-5.094995,85
-37.907013,11.938672,-1
45.046143,45.481762,7
-110.29932,1.754996,124
-69.01377,-44.698177,35
-57.789814,24.498144,130
-83.981316,-11.128262,-1
-98.00129,-31.441158,51
-72.67045,-34.57803,35
8.061898,76.42059,71
32.71733,39.174244,7
-32.081192,70.29261,-1
-25.701622,5.4591045,84
52.826797,41.09347,7
-73.08924,-38.173145,35
-122.25779,-32.22737,62
-30.444765,-80.381615,48
-97.53756,-32.06716,51
37.2463,-113.058105,59
-8.114431,-30.672806,-1
-21.05337,-112.62825,95
-92.72431,-61.249516,96
-37.19254,-1.1036613,-1
2.0360537,-112.22439,144
5.820098,59.494274,145
-82.48059,-58.45638,-1
28.796453,45.683685,7
-25.151152,-42.37454,-1
-116.021996,-5.318084,72
-12.684138,-61.72335,-1
57.727776,38.10414,7
-38.15547,-73.07887,-1
81.01622,-36.639362,58
-55.932236,-28.78455,-1
54.84299,56.58785,7
50.52146,68.41798,7
102.86725,-3.8480432,85
44.17373,63.923676,7
97.58923,-17.268059,80
-25.928871,-43.469135,-1
43.470707,51.202892,7
-41.081303,22.337618,153
10.741265,-20.738228,-1
43.776833,55.36258,7
-16.559238,11.066589,-1
65.35151,96.85955,60
-39.33701,57.594147,73
105.952126,15.13076,146
26.237337,-67.596176,8
-88.30294,98.8086,135
-31.741856,69.77479,-1
-41.869907,6.1225963,22
42.476727,57.251183,7
5.8045697,-7.239063,-1
29.313421,-41.997444,115
49.24404,12.01618,159
43.506104,46.65005,7
-45.126385,-58.55202,-1
-71.708084,71.764366,46
28.495981,-41.23658,115
41.910023,40.45388,7
-70.82666,100.491806,117
57.07407,116.032814,81
90.45186,-15.989655,-1
102.0888,-66.77947,69
-40.642307,-82.19345,23
70.3871,-30.033768,75
-44.810368,55.39016,73
41.080544,-113.135475,59
33.125076,58.563377,7
43.523785,-57.584446,82
-108.28225,-34.186802,101
-39.14121,-65.06418,104
3.2656653,60.19984,145
48.30065,35.160034,7
3.1179287,-20.617378,-1
40.94415,-5.2905226,-1
31.167187,-29.625895,132
-23.276493,30.319975,-1
106.49914,-65.76676,69
-88.27439,-80.1681,88
-3.6502023,64.229546,141
-56.445923,-91.40431,-1
-0.9136839,57.548676,-1
-84.38687,-26.231894,-1
94.215,-28.654245,119
-7.597891,-30.692059,-1
93.80733,43.669487,100
-64.716866,-42.748993,35
100.39156,-2.9307573,85
64.422226,-40.486336,-1
-77.3345,89.464386,70
-65.90027,-68.750336,47
-79.76371,85.094505,70
58.325226,57.70642,7
64.20059,66.68962,7
-5.519043,60.540455,141
55.435745,50.543583,7
-36.388634,-64.339096,104
35.589676,49.33525,7
-13.552597,107.10064,147
-34.099377,89.00342,-1
55.265236,53.530685,7
122.16247,-35.104218,19
47.457527,-73.49152,-1
89.40065,-31.483892,-1
-126.02587,-32.67411,62
-12.580274,64.90134,99
-64.899734,55.60499,76
48.595005,40.977585,7
-14.191995,71.17739,-1
55.075592,-118.32766,57
-45.721786,-110.15496,31
48.507687,47.18165,7
-121.71207,31.129747,44
-50.982006,-85.80817,102
-48.95275,-87.7526,102
53.542366,-30.151886,129
-27.01267,-77.81114,48
88.54725,-40.665897,58
66.206726,-55.9968,-1
49.37075,105.98547,126
-18.07788,58.477665,-1
17.826635,114.25436,15
42.57351,-105.5262,59
-79.298805,-63.182404,2
41.24147,5.8003244,-1
-43.42373,-53.902412,133
-27.87442,78.574,77
12.319806,-42.467373,-1
27.077307,56.25533,7
-9.14241,86.60225,113
119.31619,-38.738792,19
-52.593826,90.41184,161
-62.55377,-68.26135,47
59.52242,50.493916,7
51.99373,-62.051598,-1
-123.48707,-5.8856673,-1
-41.46872,-12.428114,98
2.2475078,-99.262115,108
-117.63529,30.648193,44
-88.32502,98.8322,135
-46.086903,-118.199936,31
-10.236702,-95.5425,63
-28.8521,37.68363,27
-117.46373,-29.088644,-1
56.318058,48.862053,7
22.299395,-0.72925276,148
-50.463703,-115.52449,31
-50.519157,-85.444695,102
-9.361967,123.77336,131
-48.524876,98.765976,43
95.71889,-72.95341,38
-0.626524,49.904434,-1
-47.88508,-79.281044,23
-94.3815,-1.0161197,137
-74.64825,13.116034,54
-47.85805,-21.574091,-1
6.862427,6.5693283,-1
59.75361,56.1873,7
-80.08858,-69.565025,2
-7.320372,6.822488,25
16.877228,-18.75696,-1
-51.15511,-94.26162,-1
-1.6169995,-101.80851,108
40.68174,53.199047,7
28.13675,5.0577183,-1
93.37396,40.842075,100
38.946888,-101.276924,-1
6.314067,59.44491,145
-43.378117,-121.836205,31
22.333313,4.1609006,148
-109.7448,18.927126,139
86.14554,-1.8266084,91
32.68381,55.837017,7
-123.508766,-30.674633,62
50.990078,58.65434,7
-86.03755,34.322037,10
-115.55749,-9.825975,72
40.006416,-108.94179,59
-78.37145,-59.772636,2
12.0917,-71.67457,-1
26.121742,-12.403337,-1
-76.04511,63.558838,3
108.082306,17.162357,146
-34.413902,89.11502,-1
-99.848595,-23.5094,51
-29.42986,59.363857,18
39.03426,-105.95903,59
-109.13642,10.814904,-1
53.84916,59.521736,7
-114.28794,-5.390687,72
35.592014,-109.58546,59
-9.577845,-17.65059,110
48.506466,49.038353,7
-76.09887,70.949455,-1
97.55692,-17.149923,80
42.54078,65.32774,7
-21.057978,42.28508,27
-9.543387,86.313934,113
-65.281555,47.75853,134
-69.70681,70.70515,46
-38.260494,-31.203308,149
54.551464,52.08853,7
-83.907936,57.09219,30
-10.949664,67.437485,99
-53.973488,-66.60462,14
-98.312904,-41.66384,32
19.051174,9.38455,-1
82.37504,14.867516,-1
-9.435871,86.565544,113
-31.367899,106.13327,-1
45.06153,57.767864,7
46.58323,39.90569,7
-47.101765,-53.100307,133
50.727165,39.8951,7
-101.25393,-12.471724,64
6.9939747,-0.7120167,39
70.00425,-30.279356,75
-14.971316,-49.710617,142
-102.53615,-23.851612,51
43.704617,60.153446,7
55.093132,-71.35989,6
-82.222664,-67.17176,2
75.14744,-18.543814,150
29.200672,-41.895134,115
-111.15778,-21.178436,-1
-77.91513,-44.354458,-1
-12.365031,65.01243,99
-111.954704,-5.133662,72
82.31539,96.70632,-1
-7.0180106,-65.83725,-1
9.203386,-55.699825,-1
-55.386047,-97.11334,-1
37.1501,42.1515,7
-48.7234,-88.56619,102
-0.5608419,-51.60817,41
28.777897,-70.593925,8
-119.271286,28.129944,44
82.74878,-60.58004,16
-93.232376,-1.0394202,137
93.43316,68.06478,114
-128.65747,-28.535286,62
49.31356,105.93017,126
-11.262837,-50.229786,142
-16.85893,20.882504,26
45.390358,-99.40297,-1
67.91216,-3.0659754,-1
68.10264,52.818848,7
-16.086615,21.703806,26
-111.955864,-5.133638,72
-10.688425,-2.2348273,-1
-94.11909,-43.58881,32
-115.13469,17.94887,34
-46.09961,-30.087626,42
94.12486,30.696299,-1
19.884155,113.17349,15
57.370373,50.461243,7
-84.50616,89.50686,70
-21.806257,14.490349,-1
-28.700275,-77.10251,48
-66.487595,61.5337,76
17.915081,-52.745003,-1
38.77188,100.85605,37
-16.896044,-47.943367,142
-64.248215,-51.252224,-1
-77.61377,-22.181665,45
-9.730151,124.19554,131
-57.304085,-91.865425,-1
-59.958008,-8.499279,-1
54.327538,1.0208093,106
6.3024735,-7.7011333,-1
-28.073627,-79.03535,48
46.063538,50.363422,7
-37.99921,-116.317375,-1
-38.40341,96.97555,151
-85.92619,-65.23958,-1
