x,y
-91.874916,8.868083
15.114115,94.223305
23.729103,-46.067886
71.26719,-117.08334
-42.724987,142.0738
-47.810814,108.00265
26.28433,-5.762805
4.366256,-141.13419
52.62549,-22.924807
3.4035587,-48.735413
68.28569,-67.20581
6.4282546,-59.225185
-70.79253,-2.6594057
-28.54851,79.94042
-89.89688,-65.09615
97.60895,47.695194
-15.800316,-25.91086
-8.76812,128.10548
-71.81575,-66.3352
-47.85444,-112.73062
-31.990797,56.06533
60.86638,37.443897
60.21922,-11.020127
-34.19247,140.56758
51.483364,60.414692
-24.99596,-83.626595
2.2936246,-81.72714
119.18043,-25.279058
-126.778336,45.745243
-78.3381,-31.860823
-65.55773,8.892038
24.168398,91.35976
27.54717,11.018413
61.79869,-48.11027
21.007568,-100.26636
37.126255,12.800855
-77.085335,-10.189701
-81.48018,-89.75184
-22.48354,-69.23078
-73.303085,2.7075925
91.785164,-26.406765
86.27219,-0.70191526
138.79149,39.537384
-88.893364,-81.90132
41.145805,25.55528
-32.26561,45.23821
1.2130135,-56.135273
36.92333,20.533297
-101.663536,63.13113
73.308846,15.279909
3.370718,-131.16042
-87.35653,77.15361
-131.49153,32.69641
83.493286,-55.682236
-41.663963,124.573074
-35.638783,106.16753
-4.9868817,-5.585954
31.002571,35.99121
138.03688,37.80292
-1.1007103,40.921444
-34.03425,-81.02797
65.78998,-133.14244
7.185039,27.805752
47.313343,135.971
-73.752045,18.624413
39.535416,130.49896
-80.12242,-32.95772
63.604176,73.69649
-123.70559,-54.99734
-95.33362,-23.773005
-55.18272,49.13633
83.077286,-43.133377
-29.147423,-40.155884
104.79771,82.88827
-106.09138,89.24485
73.634605,61.515038
45.592674,52.88815
-48.324253,24.446157
-4.0810647,137.29665
-41.44053,132.13934
22.437344,60.381283
78.34206,21.690952
100.05352,-27.87367
130.29185,-11.340141
-15.361975,83.59694
-108.71286,69.51713
-14.716558,-25.945538
-16.516277,31.279331
-100.624,11.414555
-129.26552,-51.053143
-92.60425,92.67137
84.47721,-55.655567
-42.838802,-63.357708
77.30102,-21.107506
64.95679,-123.24349
-131.26305,-33.48885
130.69685,-10.9048605
34.39068,-50.031002
145.6001,-9.212256
73.994835,-125.19893
-26.814886,26.69093
-92.720695,-29.415735
110.0691,80.50951
-3.2091825,111.90938
96.074104,-60.540363
-8.096978,8.960308
-63.467697,116.602135
-131.20763,-20.764664
130.2351,-10.533554
-12.942317,76.20708
65.98063,-115.883896
-85.49436,-92.099976
-99.596245,10.8973255
18.24449,7.3090334
-128.05151,-48.256447
-87.077,-18.422358
17.63967,18.852165
-60.65218,-94.72853
-58.321068,-115.80949
-55.546658,36.592587
-4.4819536,137.24655
69.38066,20.344206
-4.7930894,126.55754
38.20815,20.71283
-89.5204,16.693756
44.821182,136.45084
-57.979347,47.47268
46.010063,122.296
2.8254275,13.336826
113.0404,49.129135
-89.076035,-5.8775935
-55.98484,-67.248566
-62.963936,-5.66535
137.47714,-4.655069
78.74662,22.067192
74.428566,9.6527815
101.97926,2.7391984
-64.934364,118.16474
-35.198425,31.476898
74.06798,84.46802
-33.255573,-28.499699
-6.355812,123.05968
58.903446,-123.30573
-112.10443,-6.967138
-120.38079,-7.340591
-91.14747,-79.80963
26.728415,89.17567
38.686337,-3.867685
87.55768,-46.43322
2.9018326,-61.315975
71.60644,-79.74824
99.63741,32.17148
-89.17249,-81.95092
-37.177433,-11.7068
-99.8559,10.236944
77.376915,-68.79444
38.24767,-123.80829
25.502136,49.27625
69.111855,-123.011795
72.68793,-113.49732
-64.58112,-80.62979
-33.921223,45.10814
-66.14863,-55.502335
-91.99629,-64.05495
-49.373425,107.13365
-36.623455,111.40667
95.60861,-75.83682
23.021204,45.308624
63.191772,-71.44187
-16.150812,-11.199969
61.012745,-22.074053
-11.614265,130.6647
-2.5834262,136.0143
53.366,-14.724198
-56.10076,49.008434
-5.9650207,-130.48685
-73.29925,70.21036
95.224594,29.248377
29.450188,62.02428
3.8910851,-8.509846
-40.837944,-38.298958
81.351006,-79.59667
-5.700125,-90.59626
64.59867,-78.22669
-128.92564,-37.919144
46.052567,58.35546
111.208725,80.64058
67.5143,11.343129
67.72768,108.54548
-98.984566,13.227657
56.886814,-17.926926
66.586975,117.03877
14.533277,-52.121323
119.18015,-25.279087
82.98271,-55.93885
-50.35228,85.054756
61.81094,-48.099754
134.92735,-9.992389
81.36096,57.84929
43.913967,41.34534
-104.909584,6.995345
-120.32412,-75.40335
-21.984182,52.000187
-96.901726,-76.31672
8.629475,-136.96455
33.49968,-33.461994
-118.522514,26.353811
-131.72636,31.025661
-83.91181,-89.721016
75.238495,33.122963
