x,y
38.57665,-39.15081
-54.216434,139.09651
104.82677,-55.286514
58.810375,-108.20607
-97.67293,-6.757593
-15.556797,-117.77643
117.465416,46.00764
26.360245,18.990671
31.97037,8.194873
-116.86539,-76.28194
-62.413174,22.887772
-42.040092,148.1549
-106.574875,47.99295
-74.581436,51.361607
-11.82892,48.54804
70.706245,48.094673
-106.30292,-20.947054
20.73483,18.879559
41.56838,120.03719
116.55062,-8.604079
-17.192316,-100.236465
61.632095,19.212854
62.330364,-36.184258
-45.5401,9.874643
-122.9811,4.615866
-70.84913,49.81641
-111.40572,13.163895
-34.921375,-144.15776
-49.3973,-84.506424
72.54635,54.53794
76.914215,-84.657936
-63.005497,-36.412468
-48.07636,59.63727
-33.527214,-25.344961
7.2192807,-133.55066
8.143754,55.57803
-0.5700069,-42.85897
70.44874,60.77463
-105.158325,-7.1932864
-11.241244,-77.58989
103.39603,-34.30661
-69.05894,-80.7944
145.00273,2.102341
14.737571,67.45501
-85.26224,80.74867
-93.99031,-78.97269
-27.296434,-81.226555
65.06039,86.56217
121.61503,-18.06595
129.10765,22.487701
-44.88423,-32.11629
65.9203,38.399883
-10.497322,-36.58622
23.21349,57.82207
1.5066491,-37.03373
56.378895,-122.48856
55.059013,55.21545
-82.32655,22.051771
137.94176,1.8393548
35.671238,14.569329
18.577019,74.60783
13.20916,7.667201
-5.607242,-113.125946
92.44138,116.57858
42.949524,-11.723249
31.134472,-58.849033
71.14815,54.609974
13.617808,-118.51012
50.710033,0.9101711
24.699348,100.64925
-95.817505,-10.030185
-52.886917,-72.52911
-61.14297,-13.913435
-49.079014,90.397385
115.427704,-9.079743
-31.053654,13.937788
-72.106415,86.623764
-2.480519,-95.598114
-29.96907,-16.38522
-44.973347,5.087433
101.25636,-40.59777
-41.318768,66.715836
-61.05964,-145.27074
99.71777,-14.053672
7.2804227,-48.011333
55.366657,-103.57767
-70.0071,4.6863294
50.683056,-35.225548
-61.78344,-28.141329
71.82275,-117.05254
-27.632833,-0.29543447
23.658,57.822628
24.831158,112.4169
-91.30012,-27.729948
-103.30827,25.303345
27.611021,44.79309
99.47136,-13.992684
30.92433,8.338538
87.92701,95.016106
-87.376144,-31.990803
-42.974155,-152.37772
-13.673993,-66.92554
-85.38486,101.35536
-29.530388,-123.22509
8.886291,7.4306436
56.532684,-14.361969
38.412655,-71.38651
-3.0549736,122.45114
99.876785,-15.718976
59.008194,39.864212
-53.657333,29.965504
70.65852,61.476944
-66.056694,-91.208
5.2700934,23.433084
26.298367,25.092346
-5.4426136,76.14771
-62.8054,-152.55669
-96.554565,61.374832
112.15938,81.01863
87.8642,-103.40492
-34.79852,-10.770774
54.279156,-18.855608
52.548843,-49.16803
62.483913,85.49342
20.291265,-54.870464
-13.348877,-126.41278
-67.705574,48.561203
22.122272,-80.69054
-78.076096,-42.57922
13.492218,-40.088398
3.4998584,133.6803
85.26136,-39.251568
34.91203,39.885742
85.33301,110.041855
-41.32673,66.718796
-70.419495,-68.86559
37.17737,-19.341108
35.200077,-70.3693
25.12757,25.828344
-37.958633,-147.09743
54.33991,67.996
23.073555,23.92388
-59.28125,-45.41222
27.752558,-95.41362
12.453769,-0.7215953
10.972841,76.854546
10.872615,36.357414
103.75956,28.522245
-1.1572744,16.448792
0.5870999,100.40949
-62.22927,10.090781
-58.168274,94.222595
14.169028,69.06056
85.38327,22.764662
-1.4431193,-77.07105
39.839054,-110.63033
-36.52203,-51.83219
31.156109,61.610355
-29.376823,85.575264
-52.64904,23.213923
-57.367355,102.01159
65.70597,30.64474
20.82249,36.435555
-12.933539,54.216927
-16.065088,-118.70663
-29.975626,-142.62065
-40.026966,13.745736
-11.845833,-92.89393
-45.79224,-77.83236
-4.595825,104.99316
-43.909737,50.727142
9.478775,-55.674324
-16.098423,-76.79722
71.76722,-43.3931
-66.90027,49.660686
-42.23533,-31.241316
-16.662354,-105.48747
-58.134377,76.47083
94.975815,-55.71969
-66.64565,120.63852
-126.21989,13.2582855
42.920506,-91.203545
41.859894,-105.30547
-18.942556,64.39163
-6.3305497,79.27982
48.309826,-40.582775
61.846176,80.928185
127.630875,25.279377
36.17284,-76.48649
-12.273104,37.97721
47.808346,31.899158
116.38597,-12.003896
4.5764112,100.91724
-34.921425,-144.16196
26.626808,56.64473
-44.120213,-84.085785
-33.921764,-27.322618
79.09146,112.56314
130.94472,30.626492
51.278294,-10.282004
-126.350365,-52.7445
-84.171524,99.00072
-103.76446,-21.300243
57.092335,10.002854
-50.168156,-148.47725
103.065575,27.280396
-101.09703,-45.311275
-4.5638413,-37.91506
69.16001,60.886574
14.159865,-14.722758
-83.143654,-26.375164
-88.22815,-51.25146
-56.56066,-110.898285
78.9855,-3.6555135
-28.988195,-39.87546
-21.492102,-108.02559
-46.797935,34.67133
-15.305711,88.80142
78.419846,-53.269775
-17.479982,11.630122
-84.20441,-56.779015
58.470192,54.383423
33.998013,95.62552
-90.355064,-16.621502
-78.21322,143.14775
20.896608,45.523773
-55.395653,-54.658627
-50.027065,89.474945
102.878006,21.611235
-4.9391074,44.444256
25.96849,27.489513
10.423357,-148.53929
57.788254,-71.42077
-18.682024,63.67806
-82.36304,-89.073
45.38309,61.52437
-66.6944,63.943085
-61.106117,-152.77097
-85.130226,100.21298
47.917297,-115.636406
109.19759,-71.845566
-30.109617,13.640263
-7.028025,-75.205765
29.586977,-65.53842
-12.797382,-87.40476
-33.456406,-111.808716
-41.292145,-3.4332364
40.73079,35.721756
5.0412107,36.151817
-52.434578,116.816795
-8.753197,96.05574
-65.18962,-72.91059
-49.079094,90.39793
93.37138,109.459816
107.244606,16.308182
22.643478,66.338356
-51.375595,117.350494
101.060646,-61.558956
-66.89469,36.595493
-25.362526,-5.848779
-25.481781,93.115776
-39.884315,-72.95181
-115.9667,-65.18543
-47.29768,-70.794914
-73.15764,-0.6040781
27.982367,13.345655
-2.7657413,115.374115
-20.679924,-77.03897
-74.068375,66.44265
33.154453,-137.5894
-81.01574,-69.72939
-101.22145,35.133945
43.023567,-105.39105
-47.52052,-148.73941
2.4783127,87.88982
-66.471176,26.8052
-64.36178,22.007137
-1.2416898,-84.91353
-119.39618,-15.527184
-19.697147,83.517624
21.262238,-62.342247
105.32497,-23.830353
4.1343703,-98.96783
126.50925,23.212696
96.5055,-15.090875
52.478012,-85.904434
65.82149,73.666306
-34.422863,-55.017166
-80.140076,-35.364037
-77.18209,57.009968
-2.2383096,31.067991
-18.249662,28.724092
-35.78178,-81.41677
-98.69998,57.634228
63.860744,-46.107143
-85.80401,-64.615295
66.936485,-41.62616
-97.01167,36.35542
33.998024,95.62529
90.75944,-18.184069
53.655983,-119.57465
-49.593945,118.169754
-2.3435826,20.688234
-11.633952,-87.55782
109.00241,-29.31979
-90.48435,91.0222
58.244995,-25.777895
19.812529,-54.87987
-11.45187,23.677572
-45.971386,-16.647888
18.947931,81.98439
65.87535,75.25984
-28.36562,-62.45352
25.82035,94.18583
-58.08814,-55.33878
24.141071,-71.363304
-0.92859906,50.96877
56.513523,87.17303
44.136093,-42.42865
120.12627,22.256449
66.07181,-36.103504
136.76268,1.5818472
-103.35875,-21.652613
-48.898094,91.89842
-83.51274,89.67239
-103.17003,-20.261404
12.155918,55.38007
11.764054,75.441574
12.3396435,-84.267586
-77.725525,2.3471859
3.2800045,-53.120186
119.217384,-23.53998
-89.59621,-82.9219
7.483587,119.46717
118.912315,-16.301527
25.858166,106.92792
51.9,2.942683
-17.758207,10.332263
2.0049498,-48.581642
70.064964,42.13309
-30.97717,147.8895
-87.41696,-22.027493
48.361565,-116.270164
-66.76081,-40.297062
-30.821224,-53.563553
-23.163427,148.99857
35.453682,88.36427
7.6143985,-55.1629
29.703281,-50.85844
-35.916317,-3.7404993
-62.67677,21.635485
29.922653,-31.421602
-59.858456,102.155266
-103.17061,-20.261162
-83.95733,-66.114655
-52.772697,114.45448
-66.26086,-79.34155
24.242615,-35.188286
-141.48885,23.93437
1.7890482,-99.02724
35.962914,42.95896
-74.25571,32.958084
112.312195,-47.13049
-96.82147,-10.481459
-39.86054,-14.359377
47.241074,-116.57129
59.629517,-6.517899
96.366745,-87.64594
48.950417,-21.028475
144.90234,3.0668156
-83.49908,23.38844
43.861008,64.92771
46.667385,-70.17433
-107.56442,38.18121
-98.02729,35.603832
86.12427,99.733765
36.76912,-35.819054
-46.620907,15.4294
129.60065,-32.399315
-123.912155,0.67724144
0.3098757,-39.879635
-117.79363,14.445494
-56.660233,148.51813
37.321056,51.895386
22.622702,-38.02063
-7.771899,-10.942355
76.06925,50.062325
-109.16487,28.847412
101.26124,14.772049
90.78496,-2.9779003
45.89079,47.42244
71.55988,-92.930626
75.98754,-86.329384
-45.167713,-109.5088
69.75877,-5.912328
-40.97949,56.692932
42.315144,-91.63935
81.07067,-88.6257
-59.86419,-146.25415
-47.601437,-1.7848319
41.974064,78.283775
-19.839064,45.730743
-27.104216,22.25246
7.776771,-23.179564
58.272648,42.743534
47.410824,1.2631444
-66.573364,-60.16871
46.11031,54.981342
-0.013281813,-100.30938
-92.8588,-56.03002
32.34532,-101.93303
-37.671425,109.536125
-41.278824,-79.03312
-72.33562,34.341522
-84.866806,21.323683
-103.82953,-81.310936
-85.150185,30.452345
-28.174297,27.40381
67.000885,-26.974247
-24.399363,-50.082985
-106.98344,72.09905
0.5476301,-61.88011
116.64522,34.22699
-116.38722,58.27242
22.433842,-140.00919
-82.12397,-18.374756
-27.721777,-18.899778
-120.211876,38.286846
-24.014502,-89.651184
8.766382,8.478749
-60.9671,-66.8728
-41.405025,-6.079416
-112.79955,13.453517
130.60712,44.770767
-52.76343,137.18521
-65.07577,20.6457
-50.620804,102.76873
-23.411875,119.615654
110.80418,-66.56527
-48.36786,145.51437
120.8563,35.166603
-39.78237,79.054985
-44.670082,-63.51254
-94.72605,52.22545
-65.79804,-24.876852
-36.227425,26.275232
-47.50663,22.88655
-70.43952,34.27419
-28.284859,1.7832031
42.019653,121.19935
-29.654045,52.70591
-32.79937,-109.55996
29.320383,-21.658304
39.235752,103.64163
-75.5708,-34.236874
-5.4808245,6.885386
5.1848807,-83.48636
120.46024,-48.19763
-34.703167,1.6232291
-88.62378,-77.055565
70.136765,17.978554
58.60963,-70.47179
57.245663,-34.053238
-39.892395,-114.24722
18.354702,11.283164
-27.499983,-63.553005
-25.709444,119.850975
21.163328,-20.054708
-30.052563,-51.67577
66.07143,-36.10347
4.9403853,-47.31728
-3.393959,-34.391014
