x,y
-117.75218,-44.765297
3.2233713,94.65508
-80.08716,-69.56336
-75.59356,65.00905
15.9573965,125.094986
2.753329,23.100075
54.782387,-74.2604
79.69059,-6.9318714
47.949326,52.3179
47.069653,56.157433
-37.42428,97.14441
26.163897,-69.46713
-14.199804,-82.385544
26.280573,-39.530334
-52.68796,63.068027
49.48497,11.955601
-18.966187,-6.0665293
-12.975243,-71.34678
-84.10608,43.928066
2.7992055,40.679348
13.931206,-130.06409
-30.108143,117.68854
-57.624985,-62.116287
17.878286,114.18387
83.28612,-59.971104
-86.02239,34.04511
31.181198,-83.68917
-22.401098,-91.83613
11.201333,-7.702948
-50.558353,38.203255
46.479034,55.42872
49.814514,57.58438
37.505848,-12.923527
-29.426306,59.289036
6.5187793,-100.85228
113.928986,-42.53249
-47.10974,-7.4141083
-14.632042,51.38325
-80.61159,67.83672
-88.16285,-0.9290539
10.139657,-68.2706
-26.134417,-68.25683
123.15517,-36.4395
-62.916718,32.664314
56.543877,-49.56754
49.313435,55.650394
-84.76223,-90.05405
55.277676,-55.06156
-46.925358,5.610399
-43.920296,-82.23962
91.155754,5.490394
-46.71746,8.613584
-7.7890186,7.1057944
-43.11507,67.264755
84.91378,-24.405678
-13.99744,22.200567
-28.08636,38.075825
32.22173,-56.48306
121.838196,-35.80238
-50.091087,-63.285732
-98.75352,13.745357
-81.150826,57.56403
-26.20668,-23.100473
-48.551094,-119.96107
-94.12217,-43.58983
53.84173,-114.559586
-50.661175,38.319183
76.78566,-96.64061
-14.338936,-109.43169
-117.48942,16.00791
86.87398,-45.385582
-32.25692,70.16371
-72.66484,-34.57235
111.42225,42.642834
-43.730434,16.467247
38.637833,101.398636
92.31251,-75.220924
12.796194,-0.5711044
27.542946,17.828997
20.929916,118.08827
49.72449,56.478897
-36.405846,-86.27572
9.1374445,-76.5009
51.381973,52.660225
-1.9122558,-53.41884
-51.96003,6.18228
-19.473782,-6.0309205
-52.53586,52.38427
-84.090904,-26.31373
-44.99397,-34.217506
-24.942957,45.424297
-48.59653,99.23647
-123.33928,30.25292
-73.34785,-23.718538
-69.668076,77.199104
-80.44773,-1.375836
47.145287,52.80088
-62.454044,-68.26202
-27.662937,-79.40437
-72.47955,93.50516
34.949917,-1.9524302
-2.4205985,-2.7166576
113.82469,41.067547
27.919909,4.8050528
-59.755413,90.87891
73.00247,17.15641
122.67285,-9.553163
-102.53653,-23.85266
49.785088,52.506237
-89.48581,-35.01551
-65.648735,75.42973
-64.576805,14.293928
-100.88587,-27.88648
-8.48649,39.049953
-49.722786,-41.958763
-114.323845,24.44618
-72.86821,-73.7234
-74.649216,13.11587
-77.66299,13.126702
50.615757,-97.36899
27.272469,17.84674
57.044044,-61.04399
-4.061343,-71.71226
55.25014,-55.12832
48.79419,52.96702
55.45391,-118.698975
81.75013,-39.099556
37.749287,-112.53553
66.32825,97.8111
57.279575,12.186428
-126.91342,-33.095325
47.968372,53.319332
-16.765985,-99.5458
-25.221575,-76.18178
-36.35166,-86.28535
-38.504536,-56.328327
45.59407,53.015102
123.56399,-8.851058
-47.439865,-71.47041
108.51411,11.192711
-98.64189,-29.25026
-13.287346,-71.34375
-69.85903,70.242294
-122.85439,21.161535
-101.09012,-12.38296
-62.05102,31.380602
49.865784,51.4168
-59.774654,-88.18426
-28.099232,97.43164
20.318644,-83.07229
-53.016487,94.65288
49.205967,54.594776
-62.944286,32.562088
-102.44997,-37.018192
47.007442,51.639107
-37.711956,72.4674
-73.62633,-20.646782
103.02332,-63.188
-82.26461,89.326004
-70.69018,73.83885
7.2218847,75.458565
-13.586256,-96.40521
-112.43261,-7.265485
-53.11126,62.980686
3.652648,23.066664
-7.6954317,22.749325
-51.404423,81.85354
30.158579,-54.227116
-38.65804,52.545258
45.61792,-20.717327
-65.3923,-46.438927
-2.194677,-76.33588
27.099026,17.47342
-69.19636,-44.612606
86.78817,-45.43271
70.20625,-30.998032
48.884552,51.04857
45.3658,54.985317
102.07937,-67.27479
-63.79857,53.759396
48.853657,57.83353
-26.045618,78.65287
89.74624,26.778097
-31.808142,106.33289
-88.60915,-19.460365
90.75243,-81.06212
116.54602,37.267136
-39.54832,-82.894585
-43.411236,-121.730385
-84.387085,-26.232655
-63.405746,-43.77606
-47.46047,-118.07683
15.495072,-65.33989
-22.401106,-91.836716
-48.665558,98.72259
97.95167,-17.353432
-29.430819,59.181164
-23.55581,-77.24804
57.263016,115.87088
47.06335,-58.232014
47.217308,54.811172
70.65866,-49.596607
-0.32692444,-30.058342
-25.525743,5.3713193
103.04402,-3.8378212
65.80763,-68.122375
-125.16684,-29.926188
-77.89709,-35.770687
-14.683645,51.13147
83.16847,14.622309
51.348705,56.367023
50.49328,53.14727
51.047703,-34.94516
51.87543,53.518463
-91.62706,-16.921787
11.80893,0.11737982
-108.28257,-34.186527
-30.059486,-26.591406
67.42372,-3.4058952
-9.5070095,-23.569271
-75.71914,-22.704565
-26.683298,36.927498
86.495636,-68.92038
-88.22129,-80.17858
50.02748,54.17475
-38.713417,-21.741144
46.25022,52.248528
112.50335,42.672024
69.98855,-52.540997
-21.613073,-102.27463
-47.44103,-71.463524
32.573593,99.52304
46.957664,57.338062
-31.819382,106.33904
49.96563,55.083385
-64.43445,-47.10464
-79.76097,85.01957
12.210568,-75.65188
45.23929,-86.49225
87.11893,-4.483945
-76.290535,18.057508
38.771767,100.858696
-14.227036,21.871622
86.79318,-1.9161841
56.253864,11.599216
10.303366,0.7110482
-31.02967,-49.862362
72.93768,16.543415
82.87664,-37.537045
41.309444,-37.783524
-32.842144,-28.26992
50.908447,53.996613
111.41889,42.6423
-73.5789,-74.68114
50.724564,51.92613
0.44074708,-16.215603
